code,youth,young,old,youth(%),young(%),old(%),allPop,ecoPop
3840033010003,19.0,181.0,243.0,0.04288939051918736,0.40857787810383744,0.5485327313769752,443.0,297
3840033010004,21.0,206.0,249.0,0.04411764705882353,0.4327731092436975,0.523109243697479,476.0,319
3840033010005,15.0,262.0,206.0,0.031055900621118012,0.5424430641821946,0.42650103519668736,483.0,324
3840033010006,46.0,280.0,129.0,0.1010989010989011,0.6153846153846154,0.2835164835164835,455.0,305
3840033010007,33.0,278.0,157.0,0.07051282051282051,0.594017094017094,0.33547008547008544,468.0,314
3840033010008,18.0,219.0,183.0,0.04285714285714286,0.5214285714285715,0.4357142857142857,420.0,281
3840033010009,9.0,321.0,79.0,0.022004889975550123,0.784841075794621,0.19315403422982885,409.0,274
3840034010001,27.0,202.0,193.0,0.06398104265402843,0.4786729857819905,0.45734597156398105,422.0,283
3840034010002,13.0,213.0,247.0,0.02748414376321353,0.4503171247357294,0.5221987315010571,473.0,317
3840034010003,15.0,213.0,172.0,0.0375,0.5325,0.43,400.0,268
3840034020001,38.0,265.0,144.0,0.08501118568232663,0.5928411633109619,0.3221476510067114,447.0,299
3840034020002,15.0,262.0,226.0,0.02982107355864811,0.5208747514910537,0.44930417495029823,503.0,337
3840035010001,13.0,141.0,151.0,0.04262295081967213,0.46229508196721314,0.49508196721311476,305.0,204
3840035020001,14.0,273.0,211.0,0.028112449799196786,0.5481927710843374,0.42369477911646586,498.0,334
3840035030001,13.0,166.0,225.0,0.03217821782178218,0.41089108910891087,0.556930693069307,404.0,271
3840035030002,17.0,212.0,193.0,0.04028436018957346,0.5023696682464455,0.45734597156398105,422.0,283
3840035030003,13.0,208.0,189.0,0.03170731707317073,0.5073170731707317,0.4609756097560976,410.0,275
3840036010001,15.0,220.0,168.0,0.03722084367245657,0.5459057071960298,0.41687344913151364,403.0,270
3840036010002,29.0,314.0,192.0,0.05420560747663551,0.5869158878504673,0.35887850467289717,535.0,358
3840036010003,21.0,177.0,243.0,0.047619047619047616,0.4013605442176871,0.5510204081632653,441.0,295
3840036010004,38.0,249.0,155.0,0.08597285067873303,0.5633484162895928,0.3506787330316742,442.0,296
3840036010005,21.0,211.0,228.0,0.04565217391304348,0.45869565217391306,0.4956521739130435,460.0,308
3840037010001,22.0,280.0,287.0,0.03735144312393888,0.47538200339558573,0.4872665534804754,589.0,395
3840037010002,19.0,269.0,313.0,0.03161397670549085,0.4475873544093178,0.5207986688851913,601.0,403
3840038010001,12.0,182.0,206.0,0.03,0.455,0.515,400.0,268
3840038010002,13.0,168.0,218.0,0.03258145363408521,0.42105263157894735,0.5463659147869674,399.0,267
3840039010001,17.0,236.0,279.0,0.03195488721804511,0.44360902255639095,0.5244360902255639,532.0,356
3840039020001,12.0,202.0,193.0,0.029484029484029485,0.4963144963144963,0.4742014742014742,407.0,273
3840039020002,22.0,271.0,265.0,0.03942652329749104,0.48566308243727596,0.47491039426523296,558.0,374
3840040010001,23.0,241.0,301.0,0.04070796460176991,0.4265486725663717,0.5327433628318584,565.0,379
3840040010002,19.0,263.0,181.0,0.04103671706263499,0.5680345572354212,0.39092872570194387,463.0,310
3840040010003,14.0,161.0,229.0,0.034653465346534656,0.39851485148514854,0.5668316831683168,404.0,271
3840041010001,13.0,127.0,155.0,0.04406779661016949,0.43050847457627117,0.5254237288135594,295.0,197
3840041010002,111.0,524.0,208.0,0.13167259786476868,0.6215895610913404,0.24673784104389088,843.0,565
3840041020001,23.0,205.0,204.0,0.05324074074074074,0.47453703703703703,0.4722222222222222,432.0,289
3840041020002,27.0,230.0,253.0,0.052941176470588235,0.45098039215686275,0.49607843137254903,510.0,342
3840042010001,19.0,217.0,304.0,0.03518518518518519,0.40185185185185185,0.562962962962963,540.0,362
