code,유소년층(명),청장년층(명),노년층(명),유소년층(%),청장년층(%),노년층(%),총인구,경제활동인구
3231011050001,99.0,575.0,117.0,0.12515802781289506,0.7269279393173198,0.14791403286978508,791.0,562
3231011050101,74.0,368.0,49.0,0.15071283095723015,0.7494908350305499,0.09979633401221996,491.0,349
3231011050102,40.0,319.0,82.0,0.09070294784580499,0.7233560090702947,0.18594104308390022,441.0,313
3231011050103,56.0,340.0,90.0,0.11522633744855967,0.6995884773662552,0.18518518518518517,486.0,345
3231011050201,96.0,400.0,63.0,0.17173524150268335,0.7155635062611807,0.11270125223613596,559.0,397
3231011050202,87.0,321.0,80.0,0.17827868852459017,0.6577868852459017,0.16393442622950818,488.0,346
3231011050301,118.0,380.0,40.0,0.21933085501858737,0.7063197026022305,0.07434944237918216,538.0,382
3231011050302,100.0,356.0,53.0,0.19646365422396855,0.6994106090373281,0.10412573673870335,509.0,361
3231011050303,91.0,265.0,24.0,0.2394736842105263,0.6973684210526315,0.06315789473684211,380.0,270
3231011050401,131.0,289.0,28.0,0.2924107142857143,0.6450892857142857,0.0625,448.0,318
3231011050402,88.0,277.0,37.0,0.21890547263681592,0.6890547263681592,0.09203980099502487,402.0,285
3231011050403,105.0,289.0,26.0,0.25,0.6880952380952381,0.06190476190476191,420.0,298
3231011050404,111.0,261.0,31.0,0.27543424317617865,0.6476426799007444,0.07692307692307693,403.0,286
3231011060001,28.0,243.0,156.0,0.06557377049180328,0.5690866510538641,0.36533957845433257,427.0,303
3231011070001,41.0,288.0,116.0,0.09213483146067415,0.647191011235955,0.2606741573033708,445.0,316
3231011070002,60.0,402.0,130.0,0.10135135135135136,0.6790540540540541,0.2195945945945946,592.0,420
3231011070003,59.0,412.0,111.0,0.1013745704467354,0.7079037800687286,0.19072164948453607,582.0,413
3231011070004,35.0,323.0,145.0,0.06958250497017893,0.6421471172962226,0.2882703777335984,503.0,357
3231011070005,39.0,343.0,162.0,0.07169117647058823,0.6305147058823529,0.2977941176470588,544.0,386
3231011070006,42.0,343.0,166.0,0.07622504537205081,0.6225045372050817,0.30127041742286753,551.0,391
3231011070007,39.0,354.0,135.0,0.07386363636363637,0.6704545454545454,0.2556818181818182,528.0,375
3231011070008,34.0,321.0,128.0,0.07039337474120083,0.6645962732919255,0.2650103519668737,483.0,343
3231011070009,21.0,264.0,140.0,0.04941176470588235,0.6211764705882353,0.32941176470588235,425.0,302
3231011070010,68.0,414.0,114.0,0.11409395973154363,0.6946308724832215,0.1912751677852349,596.0,423
3231011070011,44.0,409.0,144.0,0.07370184254606366,0.6850921273031826,0.24120603015075376,597.0,424
3231011070012,43.0,320.0,104.0,0.09207708779443255,0.6852248394004282,0.22269807280513917,467.0,332
3231011070013,55.0,295.0,100.0,0.12222222222222222,0.6555555555555556,0.2222222222222222,450.0,319
3231011070014,32.0,393.0,89.0,0.0622568093385214,0.7645914396887159,0.17315175097276264,514.0,365
3231011070015,57.0,395.0,152.0,0.09437086092715231,0.6539735099337748,0.25165562913907286,604.0,429
3231011070016,58.0,366.0,124.0,0.10583941605839416,0.6678832116788321,0.22627737226277372,548.0,389
3231011070017,38.0,358.0,143.0,0.07050092764378478,0.6641929499072357,0.2653061224489796,539.0,383
3231011070018,41.0,353.0,152.0,0.07509157509157509,0.6465201465201466,0.2783882783882784,546.0,388
3231011070019,16.0,335.0,158.0,0.03143418467583497,0.6581532416502947,0.3104125736738703,509.0,361
3231011070101,60.0,453.0,85.0,0.10033444816053512,0.7575250836120402,0.14214046822742474,598.0,425
3231011070201,80.0,288.0,40.0,0.19607843137254902,0.7058823529411765,0.09803921568627451,408.0,290
3231011070202,20.0,297.0,77.0,0.050761421319796954,0.7538071065989848,0.19543147208121828,394.0,280
3231011070301,59.0,255.0,53.0,0.16076294277929154,0.6948228882833788,0.1444141689373297,367.0,260
3231011080001,44.0,291.0,73.0,0.10784313725490197,0.7132352941176471,0.17892156862745098,408.0,290
