code,youth,young,old,youth(%),young(%),old(%),allPop,9
3704034020001,23.0,275.0,241.0,0.04267161410018553,0.5102040816326531,0.44712430426716143,539.0,
3704034020002,35.0,273.0,231.0,0.06493506493506493,0.5064935064935064,0.42857142857142855,539.0,
3704034020003,35.0,262.0,242.0,0.06493506493506493,0.48608534322820035,0.4489795918367347,539.0,
3704034030001,38.0,286.0,228.0,0.06884057971014493,0.5181159420289855,0.41304347826086957,552.0,
3704034030002,11.0,270.0,291.0,0.019230769230769232,0.47202797202797203,0.5087412587412588,572.0,
3704034030003,25.0,249.0,173.0,0.05592841163310962,0.5570469798657718,0.3870246085011186,447.0,
3704035010001,24.0,251.0,205.0,0.05,0.5229166666666667,0.4270833333333333,480.0,
3704035020001,24.0,238.0,188.0,0.05333333333333334,0.5288888888888889,0.4177777777777778,450.0,
3704035030001,13.0,131.0,222.0,0.03551912568306011,0.35792349726775957,0.6065573770491803,366.0,
3704035040001,40.0,246.0,177.0,0.08639308855291576,0.531317494600432,0.38228941684665224,463.0,
3704035050001,8.0,171.0,166.0,0.02318840579710145,0.4956521739130435,0.4811594202898551,345.0,
3704035060001,19.0,218.0,255.0,0.03861788617886179,0.44308943089430897,0.5182926829268293,492.0,
3704036010001,18.0,174.0,172.0,0.04945054945054945,0.47802197802197804,0.4725274725274725,364.0,
3704036020001,15.0,264.0,413.0,0.02167630057803468,0.3815028901734104,0.596820809248555,692.0,
3704036030001,13.0,177.0,182.0,0.03494623655913978,0.47580645161290325,0.489247311827957,372.0,
3704036040001,25.0,183.0,380.0,0.04251700680272109,0.3112244897959184,0.6462585034013606,588.0,
3704037010001,25.0,240.0,69.0,0.0748502994011976,0.718562874251497,0.20658682634730538,334.0,
3704037020001,20.0,318.0,199.0,0.037243947858473,0.5921787709497207,0.37057728119180633,537.0,
3704037020002,17.0,265.0,263.0,0.031192660550458717,0.48623853211009177,0.48256880733944957,545.0,
3704037020003,28.0,299.0,190.0,0.05415860735009671,0.5783365570599613,0.36750483558994196,517.0,
3704038010001,14.0,362.0,164.0,0.025925925925925925,0.6703703703703704,0.3037037037037037,540.0,
3704038010002,25.0,298.0,224.0,0.04570383912248629,0.5447897623400365,0.40950639853747717,547.0,
3704038010003,12.0,216.0,225.0,0.026490066225165563,0.4768211920529801,0.4966887417218543,453.0,
3704038020001,25.0,201.0,205.0,0.058004640371229696,0.46635730858468677,0.4756380510440835,431.0,
3704038020002,20.0,201.0,180.0,0.04987531172069826,0.5012468827930174,0.4488778054862843,401.0,
3704038020003,15.0,221.0,183.0,0.03579952267303103,0.5274463007159904,0.43675417661097854,419.0,
3704039010001,17.0,148.0,175.0,0.05,0.43529411764705883,0.5147058823529411,340.0,
3704039020001,16.0,184.0,199.0,0.040100250626566414,0.46115288220551376,0.49874686716791977,399.0,
3704039020002,17.0,203.0,235.0,0.03736263736263736,0.4461538461538462,0.5164835164835165,455.0,
3704039030001,12.0,202.0,191.0,0.02962962962962963,0.49876543209876545,0.47160493827160493,405.0,
3704039030002,22.0,266.0,179.0,0.047109207708779445,0.569593147751606,0.38329764453961457,467.0,
3704039030003,14.0,216.0,214.0,0.03153153153153153,0.4864864864864865,0.481981981981982,444.0,
3704040010001,18.0,219.0,176.0,0.043583535108958835,0.5302663438256658,0.4261501210653753,413.0,
3704040010002,19.0,299.0,283.0,0.03161397670549085,0.49750415973377704,0.47088186356073214,601.0,
3704040010003,19.0,279.0,271.0,0.033391915641476276,0.4903339191564148,0.47627416520210897,569.0,
3704041010001,18.0,209.0,200.0,0.04215456674473068,0.4894613583138173,0.468384074941452,427.0,
3704041010002,12.0,235.0,207.0,0.02643171806167401,0.5176211453744494,0.45594713656387664,454.0,
3704041010003,16.0,207.0,181.0,0.039603960396039604,0.5123762376237624,0.44801980198019803,404.0,
3704041010004,19.0,208.0,178.0,0.04691358024691358,0.5135802469135803,0.43950617283950616,405.0,
3704042010001,12.0,193.0,199.0,0.0297029702970297,0.4777227722772277,0.49257425742574257,404.0,
3704042010002,16.0,260.0,236.0,0.03125,0.5078125,0.4609375,512.0,
3704042010003,16.0,256.0,254.0,0.030418250950570342,0.4866920152091255,0.4828897338403042,526.0,
3704043010001,18.0,203.0,195.0,0.04326923076923077,0.4879807692307692,0.46875,416.0,
3704043010002,12.0,205.0,193.0,0.02926829268292683,0.5,0.47073170731707314,410.0,
3704043010003,22.0,193.0,206.0,0.052256532066508314,0.4584323040380047,0.48931116389548696,421.0,
3704043010004,17.0,187.0,208.0,0.0412621359223301,0.4538834951456311,0.5048543689320388,412.0,
3704051010001,18.0,222.0,104.0,0.05232558139534884,0.6453488372093024,0.3023255813953488,344.0,
